id,title,type,s/pv,year,meeting_number,day_date_time,president,members,agenda,text
11,Afghanistan_Situation_1477081,10,,,,,,,,"create a space for the opening of talks. The offer of
negotiations is on the table. It is now incumbent upon
the Taliban to come forward with an offer of their own
and to start direct talks with the Government in order
to put an end to the suffering of the Afghan people. The
Taliban?€?s argument that they will not talk to the Afghan
Government because the conflict is not between Afghan
parties misrepresents the reality that tens of thousands
of Afghan people are killed and maimed every year
in direct confrontations between the Taliban and the
Government forces."
12,Afghanistan_Situation_1477081,11,,,,,,,,"Making peace and reaching out to opponents
requires resolve, courage and, above all, national
unity. Looking at recent developments in domestic
political, I am compelled to express my concern about
some actions that could deepen divisions in society.
Political leaders need to place the national interest
above a partisan agenda. National unity provides the
only basis for the continuation of international support
to Afghanistan and for the implementation of effective
reforms. Political stability also requires inclusivity. The
prolonged political impasse over the governorship of
Balkh should be resolved swiftly through a negotiated
solution. It must not undermine the authority of the
National Unity Government or hinder progress on the
delivery of key Government functions. The upcoming
elections provide a further opportunity to ensure
that unity and stability prevail and that all groups
are represented."
13,Afghanistan_Situation_1477081,12,,,,,,,,"When the members of the Council visited
Afghanistan in January, they delivered aclear and strong
message that parliamentary elections must be held in
2018 and presidential elections in 2019. Since then,
there has been accelerated progress on preparations
for voter registration. The Independent Election
Commission, under its new Chairperson, is working
hard on electoral preparations, but the timelines remain
tight. In one of his first statements, the Chairperson of
the Commission acknowledged that elections would
most probably have to be delayed beyond the current
date of July 2018 but that they could still be held this
year as long as preparations are not delayed and voter
registration begins on schedule in April."
14,Afghanistan_Situation_1477081,13,,,,,,,,"The Independent Election Commission must also
concentrate on areas where it can deliver and seek the
assistance of other agencies of the Government in areas
that need to be accelerated, such as the recruitment
of voter registration staff. The Afghanistan Central
Civil Registration Authority must now do all it can to"
15,Afghanistan_Situation_1477081,14,,,,,,,,"enable eligible Afghan citizens to register to vote by
issuing citizen identity cards, known in Afghanistan
as tazkeras, to the millions of people who do not
possess them. Public outreach is important. Afghan
voters will need to understand the importance for them
to cast their votes, even though they may have serious
concerns about the electoral system because of past
experiences. The United Nations is working with the
Commission to ensure women?€?s participation in all
stages of the elections ?€? as candidates, campaigners
and voters."
16,Afghanistan_Situation_1477081,15,,,,,,,,"The new penal code, which entered into force on
14 February, reinforces Afghanistan?€?s compliance
with international human rights and criminal justice
standards and is a milestone in the country?€?s criminal
justice reform. We wholeheartedly welcome its coming
into force. UNAMA played a valuable role in drafting
the code. I am pleased to report, on today?€?s International
Women?€?s Day, that the Afghan Cabinet has adopted the
necessary amendment to the penal code to ensure that
all provisions of the Elimination of Violence against
Women law continue to apply, giving Afghan women
continuing legal protection from violence."
17,Afghanistan_Situation_1477081,16,,,,,,,,"Women are also disproportionately affected by
the conflict. More than 1,200 women were killed or
injured last year, mostly from ground fighting and
suicide attacks. I am particularly concerned by the
increase in civilian casualties caused by the Islamic
State in Khorasan Province, which has been expanding
its geographical spread beyond the hitherto stronghold
of eastern Afghanistan into northern Afghanistan. We
are monitoring those developments very carefully in
the light of potentially destabilizing effects in the north
and beyond."
18,Afghanistan_Situation_1477081,17,,,,,,,,"I would like to turn to another issue of pressing
importance, which is the question of refugees and
displaced persons. Pakistan and Iran have generously
hosted Afghan refugees for decades in times of great
needs, and we appreciate their contribution. It should
not be forgotten that 1.5 million people returned to
Afghanistan in 2016 and 2017. The Afghan Government
has welcomed the return of its citizens, but such large
numbers inevitably stress the Government?€?s ability
to provide services. Assurances that returnees would
gain access to land, housing and basic services have
unfortunately not been realized. We believe that gap
must be addressed before encouraging more people to
move back to their homeland voluntarily. It is possible,
and even likely, that hundreds of thousands more"
19,Afghanistan_Situation_1477081,18,,,,,,,,"Afghans will return from Pakistan this year alone.
While the international aid community is preparing
contingency plans to provide short-term help, the
responsibility for people?€?s protection and welfare rests
with the State. Simply put, only the State can provide
land, guarantee property rights and ensure adequate
provision of services."
20,Afghanistan_Situation_1477081,19,,,,,,,,"With regard to investment and improving
Afghanistan?€?s economy, I am _ pleased to _ note
the recent ground-breaking ceremony for the

construction in Afghanistan of the Turkmenistan-
Afghanistan-Pakistan-India pipeline. The nearly
2,000-kilometre-long pipeline will be able to transfer
33 billion cubic metres of gas from Turkmenistan to
Pakistan and India through Afghanistan. The ground-
breaking was not only a success for regional cooperation
and integration, but the beginning of the fulfilment
of a long-standing project in Afghanistan that will
contribute significantly to Afghanistan?€?s economic
self-reliance."
21,Afghanistan_Situation_1477081,20,,,,,,,,"UNAMA appreciate?€?s the Council?€?s adoption of
a renewed mandate for UNAMA. We have important
tasks ahead of us this year, including peace efforts, the
upcoming elections and the ministerial conference on
Afghanistan, which the United Nations looks forward to
hosting with the Government of Afghanistan in Geneva
on 28 November. I must also mention the critical areas
of human rights and reforms, including with regard to
anti-corruption efforts. As we work with and for the
people and the Government of Afghanistan, we look to
the Security Council to provide us with a clear mandate."
22,Afghanistan_Situation_1477081,21,,,,,,,,"The President:
his briefing.

I thank Mr. Yamamoto for

I now give the floor to Ms. Sarabi.

Ms. Sarabi: It is indeed an honour for me to be
here today to represent Afghan women. I thank the
delegation of the Netherlands for the opportunity to
participate in this meeting."
23,Afghanistan_Situation_1477081,22,,,,,,,,"Iam very hopeful that the Security Council gained
a very clear picture of the situation during its their last
visit to Kabul. I thank the Council for coming to visit
us. Surely, that will pave the way for new opportunities
to reiterate the Council?€?s support for the people of
Afghanistan, especially women. Women?€?s lives have
changed remarkably in the past 17 years, and two
factors are responsible for that change."
24,Afghanistan_Situation_1477081,23,,,,,,,,"One of them is the tireless efforts and persistent
struggles of women themselves; the other is the
Afghanistan?€?s Constitution, which includes important
articles in favour of women that have enabled them to
become engaged in political and social issues in the
country. In addition to the Afghan Constitution, which
provides equal rights for both Afghan men and women,
on 5 March 2003, Afghanistan joined the Convention
on the Elimination of All Forms of Discrimination
against Women. In addition, laws were adopted on
eliminating violence against women and preventing
sexual harassment."
25,Afghanistan_Situation_1477081,24,,,,,,,,"Afghanistan today is well equipped with national
policies and international commitments to support
women?€?s empowerment. Afghanistan?€?s Constitution
guarantees equal rights before the law for both women
and men. Similarly, the Constitution guarantees
women?€?s access to education, health care and social
inclusion. After 17 years, Afghanistan has in place
key legislation, policies and national plans that further
increase the Government?€?s obligation to strengthen
women?€?s participation and equal rights."
26,Afghanistan_Situation_1477081,25,,,,,,,,"Afghan women?€?s inclusion in some of the key
decision-making roles at the central and provincial
levels is remarkable. Women?€?s presence today in
the Cabinet, the Parliament, the Senate, provincial
councils, the High Peace Council, the security sector
and civil society is also remarkable. The post of Deputy
Attorney General for the prohibition of violence against
women has been established, and there are currently 242
women prosecutors working in different departments,
including that on the elimination of violence against
women. There are also 300 female judges, who are
working to ensure the rule of law and prevent violence
against women. In addition, 800 out of 4,000 defence
attorneys are female. In addition, family response units
are actively working throughout all 34 provinces. With
regard to the security sector, a total of 3,144 female
police officers are working in the Ministry of the
Interior, with a target to increase that number to 5,000.
And 1,500 women are currently playing an active role
in the Ministry of Defence."
27,Afghanistan_Situation_1477081,26,,,,,,,,"The Government?€?s initiatives have led to significant
achievements in education and training, which translate
into an increase in the number of girls attending school
from 3.5 million in 2013 to 3.6 million in 2015 ?€? 40 per
cent of the total number of students attending school.
Young girls continue to pursue higher education after
graduating from school, either in the country or abroad."
28,Afghanistan_Situation_1477081,27,,,,,,,,"The number of professors in governmental universities
increased from 3,159 to 5,582 in three years, of whom
774 are female. It is worth mentioning that the National
Unity Government has not limited women just to the
Ministry of Women?€?s Affairs, and that the role of
women in governance has expanded to all departments.
For example, a 50 per cent presence of women in
the Citizens Charter National Priority Programme
is guaranteed."
29,Afghanistan_Situation_1477081,28,,,,,,,,"In July 2015, the Government of Afghanistan
launched its first national action plan for the
implementation of resolution 1325 (2000). The
plan involves collaboration with other Government
agencies, civil society organizations and international
organizations to implement resolution 1325 (2000). In
Government leadership, there are 3 female Ministers
and 11 female Deputy Ministers, but what is worth
mentioning is the significant presence of women at the
middle-management level."
30,Afghanistan_Situation_1477081,29,,,,,,,,"Afghan women have made significant progress in
small and medium-sized businesses. For example, the
Chamber of Commerce for Women has been established
to empower and support Afghan women in business.
We are proud of the growth of the role of women in civil
society. Although they are still young, their advocacy
skills are commendable. An estimated 2,000 female
employees are actively working in the media sector,
where up to 50 print, video and audio media outlets are
run by women."
31,Afghanistan_Situation_1477081,30,,,,,,,,"Women?€?s participation in sports is another tangible
achievement. The number of Afghan girls in sports now
exceeds 12,000, and in the past three years they have
won 50 foreign medals. Sportswomen have been well
represented in various sports, especially the Bamyan
Mountain Peace Cup bicycle-racing championship."
32,Afghanistan_Situation_1477081,31,,,,,,,,"Women are actively engaged in the peace process.
Out of a total of 65 members of the High Peace Council,
one in a leadership position, four in the executive and
twelve in the General Assembly are women. Sixty-three
women out of 320 are also members of the Provincial
Peace Committee. Right now, women are represented at
all levels of the High Peace Council. In the High Peace
Council, the leadership and all members ?€? including
myself as a Deputy Chairperson ?€? have always
maintained and respected the idea that peace without
women?€?s meaningful participation is impossible.
Therefore, we are committed to boosting women?€?s role
at all levels of the peacebuilding process, ensuring"
33,Afghanistan_Situation_1477081,32,,,,,,,,"their participation in leadership and safeguarding
their rights.

The High Peace Council and I also believe that
social peace is paving the way for political peace. That
is why we initiated the Women?€?s Peace Network, which
we call the ?€?mothers of peace?€?. The first phase is now
complete and the second will start very soon, in late
March. The Network will bring changes to the mindset
of the people from one of violence to one of peace."
34,Afghanistan_Situation_1477081,33,,,,,,,,"The High Peace Council has also created a women?€?s
advisory board, where rural women from 34 provinces,
in addition to Provincial Peace Committee members,
will meet on a quarterly basis and share their concerns
and ideas for improving our operations. We are
committed to increasing the number of female members
in the Committee from two to three in each province.

At the second Kabul Process conference, the
Afghan Government shared the road map for peace.
Afghan President Ashraf Ghani offered talks with the
Taliban without preconditions. He added:"
35,Afghanistan_Situation_1477081,34,,,,,,,,"?€?The Taliban will be recognized as a political
party in the structure of the Constitution and by the
Afghan Government if they obey the rule of law and
respect women?€?s rights, which is one of the strategic
priorities for Afghanistan?€?s international partners.?€?

Also, one of the subjects mentioned in the proposal is
a provision for the rights and safety of all citizens of
Afghanistan, especially women, in accordance with
the Constitution."
36,Afghanistan_Situation_1477081,35,,,,,,,,"These are achievements for Afghan women, but
some challenges remain and I shall highlight just the
principal ones. First, violence against women remains
very high throughout Afghanistan. Secondly, there is a
lack of awareness and rule of law for the implementation
of gender equality. Thirdly, access to higher education
is difficult, especially for girls who are married young
and cannot pursue their education. Fourthly, election
campaigning for women, especially in rural areas, is
still a challenge.

Ishouldlike to make the followingrecommendations.

We must ensure that women?€?s rights are
non-negotiable at any level of the peace dialogue.
We must make a commitment to including women?€?s
meaningful participation in all agendas at the
negotiating table and in decision-making in peace
and reconciliation processes. We must ensure that the"
37,Afghanistan_Situation_1477081,36,,,,,,,,"female members of the Provincial Peace Committee
have the capacity to negotiate and lobby. We must also
ensure specific and sufficient allocation of budgets and
corresponding financing mechanisms for the effective
implementation of the national action plan on resolution
1325 (2000), and include women in initiatives related to
improving livelihoods and community-based projects
to strengthen development outcomes and address risks.

Afghan women expect their partners to stand by
them, bring peace and security and uproot the pervasive
phenomenon of terrorism, because if we are the primary
victims today, surely tomorrow others will be next."
38,Afghanistan_Situation_1477081,37,,,,,,,,"The President: [ thank Ms. Sarabi for her briefing.
I now give the floor to Ms. Safi.

Ms. Safi: I thank you, Madam President, for giving
me the opportunity to address the Security Council
today. I should like to thank the Netherlands, as the
President of the Council this month, for inviting me to
share my perspectives on the Afghan peace process."
39,Afghanistan_Situation_1477081,38,,,,,,,,"Today, in my capacity as a peacebuilder and
member of the research community in Afghanistan, I
would like to touch on the current trends, conditions on
the ground and key issues relating to the Afghan peace
process. The perspectives I will be sharing with the
Council today have been deeply informed by a decade
of consultations I have led as part of our efforts at the
Organization for Policy Research and Development
Studies with diverse sectors, community members and
the brave and resilient women of Afghanistan."
40,Afghanistan_Situation_1477081,39,,,,,,,,"Afghanistan has witnessed great progress since
2001. This is reflected in the emergence of a bright
and vibrant new generation of youth, the representation
of women in all sectors of Afghan society and the
strengthening of a promising democratic system of
governance. Seventeen years ago, hope replaced despair
as Afghans embarked on the path towards a peaceful
and stable future where conflict would become a distant
memory. We welcomed international investment and
commitment to supporting that hope."
41,Afghanistan_Situation_1477081,40,,,,,,,,"But as I speak here, I must tell Council members that
this hope is fading. The theater of conflict is becoming
more confusing, complicated and lethal. In 2001, we
were fighting one group; we are now fighting over 20
regional and international terrorist organizations. Safe
zones have now become battlefields that extend from
rural to urban areas. The Taliban, its affiliated group
the Haqqani Network, and fighters affiliated with the"
42,Afghanistan_Situation_1477081,41,,,,,,,,"Islamic State in Iraq and the Levant are now targeting
civilians, including women and children.

In 2009, 285 women were killed as a result of the
ongoing conflict. As mentioned earlier, that number
rose to 1,224 in 2017. That is extremely alarming. Let us
not forget last year?€?s killing of 9-year-old Shukria, who,
while travelling with her family from Ghazni province
to Quetta, was stopped by insurgents, held captive and
later beheaded. That incident prompted nationwide
protests and made it very clear that Afghans would not
tolerate impunity for those targeting civilians."
43,Afghanistan_Situation_1477081,42,,,,,,,,"Despite the Taliban committing to a code of conduct
on the protection of civilians, the group continues to
carry out attacks in densely populated areas, showing
no regard for civilian lives. I implore the Security
Council and the international community to ensure that
transitional justice is not compromised in the pursuit of
peace and reconciliation. The peace deal with Hizb-i
Islami, signed in September 2016, showed us that peace
is possible in Afghanistan. However, it also showed how
easily actors could sideline the need for community
healing, exclude women and civil society engagement
and take steps that reinforce a culture of impunity in
the pursuit of achieving peace."
44,Afghanistan_Situation_1477081,43,,,,,,,,"While security challenges remain the predominant
source of concern, it is not the only cause of despair
among Afghans. Our recent findings indicate that
insecurity and political instability go hand in hand,
and are the two primary drivers for Afghans fleeing.
For the first time in Afghanistan?€?s history, we are now
witnessing young, single Afghan women making up a
significant portion of those undertaking the dangerous
journey out of the country."
45,Afghanistan_Situation_1477081,44,,,,,,,,"As Ms. Sarabi just described, the second round
of the Kabul Process culminated last week with the
Afghan Government presenting a detailed offer of
peace to the Taliban for the first time. While there
has long been national consensus on the need for
peace among Afghans, there still remain serious and
diverging concerns on the best way forward for peace
to unfold. Fundamental questions remain on whether
the time is right for such negotiations. What are the red
lines for negotiations? What would justice look like in
an eventual settlement? How will the rights of women
be upheld and protected? How will the participation of
women at all levels be guaranteed in the implementation
and monitoring of any agreement reached? What is
the way forward after a peace agreement is reached,"
46,Afghanistan_Situation_1477081,45,,,,,,,,"and what will that peace mean to different sectors of
Afghan society?

For women, it is imperative for the State to define
the type of peace that would ensue from reconciliation.
Our findings show that women believe that the future
of their rights is intricately tied to the outcomes of
the peace process. Habiba from Kunduz province
told us that the gains of the past 17 years in women?€?s
empowerment, freedom of speech, human rights and
civil values should not be open for negotiation. On
the question of reintegrating ex-combatants, women,
particularly those living in rural areas, expressed fear
of an escalation of violence and further suppression of
women. How those reintegrated would be monitored
after a peace agreement is also a significant source
of concern."
47,Afghanistan_Situation_1477081,46,,,,,,,,"The Afghan Government?€?s launch of the national
action plan on resolution 1325 (2000), on women and
peace and security, in 2015 offered great possibilities
for the promotion of women?€?s involvement in all
areas related to peace and security. However, its
implementation continues to suffer setbacks, rendering
women?€?s voices as symbolic at decision-making levels.
For example, while gender units have been created
within most ministries in legal structures, they lack the
necessary tools and budget required to carry out the
mandate of resolution 1325 (2000). The time has come
to expand women?€?s roles from one of mere presence
to active engagement, consultation and inclusion. The
United Nations Assistance Mission in Afghanistan, the
Afghan Government and civil society organizations
must work together towards identifying where the
bottlenecks lie and adopt concrete and genuine measures
to address those gaps. Only then can we create spaces
where women, both formally and informally, are able to
realize their agency."
48,Afghanistan_Situation_1477081,47,,,,,,,,"There is also a great disconnect between the
rhetoric of local ownership and how it is actually
implemented. The selective nature with which the High
Peace Council chooses the narratives it incorporates
into its peace agenda, the civil society actors it decides
to engage with and the priorities it chooses to focus on
have led many to question its legitimacy, credibility
and objectivity."
49,Afghanistan_Situation_1477081,48,,,,,,,,"Real and meaningful progress notwithstanding,
the Afghan Government remains weak, with financial,
security and internal strife mounting. We must
therefore be cognizant that any proposed changes to the"
50,Afghanistan_Situation_1477081,49,,,,,,,,"Constitution as a result of a peace agreement must not
erode the rights and freedoms of all Afghan citizens.
I appeal to the Security Council to closely monitor
any amendments to the Constitution, ensure that the
sequencing of peace-making activities and overtures
are supported with confidence-building measures from
the Taliban and, lastly, facilitate greater engagement
between the High Peace Council and diverse actors
of Afghan society to ensure that all narratives are
represented and supported through national consensus."
51,Afghanistan_Situation_1477081,50,,,,,,,,"In conclusion, past experiences show us _ that
supporting an Afghan-led and Afghan-owned peace
process is not enough to prevent and combat terrorism.
When we asked women at the rural level what they
saw as an obstacle to achieving peace in Afghanistan,
almost all highlighted regional interference. The
Security Council and the international community
must persuade Pakistan to engage constructively in all
efforts to curb the threat of terrorism and support an
intra-Afghan dialogue for peace.

Afghanistan?€?s international partners have
repeatedly expressed their intention and will to stand
behind the people of Afghanistan to bring about lasting
peace, security and stability. Today, I urge those present
to stand beside us, and not behind us."
52,Afghanistan_Situation_1477081,51,,,,,,,,"The President: I thank Ms. Safi for her briefing.

I now give the floor to the representative

of Afghanistan."
53,Afghanistan_Situation_1477081,52,,,,,,,,"Mr. Saikal (Afghanistan): Let me begin by
congratulating the Netherlands on assuming the
presidency of the Security Council, and by thanking
you, Madam President, for convening today?€?s debate
on Afghanistan, which coincides with International
Women?€?s Day. We pay tribute today to the important
contributions of women in promoting stable and
prosperous societies. It is an occasion to focus on what
more needs to be done to empower women against the
many challenges they face, particularly in conflict and
post-conflict societies."
54,Afghanistan_Situation_1477081,53,,,,,,,,"Iam pleased that Her Excellency Ms. Julie Bishop,
Minister for Foreign Affairs of Australia, will be
joining us later on, and my dear colleague, Ms. Habiba
Sarabi, Deputy Chairperson of Afghanistan?€?s High
Peace Council, and Ms. Mariam Safi are among us
here today. I thank the Special Representative of the
Secretary-General, Ambassador Tadamichi Yamamoto,
for his briefing.

Today?€?s meeting provides another occasion to
assess the overall situation in Afghanistan. I am pleased
to report that, in the course of the past three months,
the imperatives of Afghanistan?€?s security, stability and
development received added international attention,
with particular focus on addressing the root causes
of the conflict and strengthening our defensive and
security capabilities, in parallel with efforts to devise a
more practical peace plan."
55,Afghanistan_Situation_1477081,54,,,,,,,,"Our security forces, with better support from
international partners, have increased pressure on
terrorist groups across the country. Nevertheless,
regional sponsors of terrorism, having faced
international pressure and setbacks in the countryside,
remain belligerent, as reflected by their efforts to
engineer violent attacks in urban centres with high
numbers of civilian casualties. Despite that, governance
reform and economic development have continued
unabated. A national dialogue among various political
forces has been under way on issues that are crucial
to our unity and political stability, the success of our
peace efforts and preparations for holding timely and
transparent parliamentary elections this year."
56,Afghanistan_Situation_1477081,55,,,,,,,,"Afghanistan has always emphasized that our
partnership with the international community has been
a strategic asset for advancing shared goals of defeating
terrorism and achieving stability. In that light, the
Council?€?s visit to Kabul from 13 to 15 January and its
high-level meeting on 19 January on the security and
development of Afghanistan and Central Asia (see
S/PV.8162) were clear signs of international support
at the highest level. We are grateful to all members
of the Council for their collective commitment and
improved consensus on a more focused engagement on
key issues related to Afghanistan?€?s security, stability
and development. We wish to offer a special debt of
gratitude to my friend and colleague Ambassador
Kairat Umarov for his personal efforts in that regard as
President of the Council during the month of January."
57,Afghanistan_Situation_1477081,56,,,,,,,,"During the Kabul visit, the Council discussed
a range of security, political, economic and social
issues with Afghanistan?€?s leadership in Government,
the Parliament, the judiciary, the High Peace Council,
political parties and civil society. One common request
pertained to effective Council action to address the
sponsorship of terrorist outfits and the problem of
their regional safe havens as priority needs for security
and stability in Afghanistan. That was highlighted by
Ms. Safi here today. It is also reflected in the recent"
58,Afghanistan_Situation_1477081,57,,,,,,,,"report of the Secretary-General on the situation in
Afghanistan (S/2018/165).

Of late, we have seen new measures at the
international level to change the calculus and promote
genuine and productive counter-terrorism cooperation.
In that regard, recent decisions, including the reduction
of financial aid to the State concerned and its inclusion
in the watch list of the Financial Action Task Force
represent a renewed attempt to encourage genuine
action on the crucially important goal of defeating
terrorism effectively. We hope that the trend continues
and that the response to those measures is positive, in
the interest of peace and security in Afghanistan and
the region."
59,Afghanistan_Situation_1477081,58,,,,,,,,"Days after the Council?€?s visit and almost
immediately after the 19 January high-level meeting
of the Council, regional sponsors of terrorism, through
their trained violent proxies, unleashed a new wave
of terrorist attacks. The sheer level of savagery in
those despicable and heinous attacks was startling.
Armed gunmen from the Taliban?€?s Haqqani Network
attacked the Intercontinental Hotel in Kabul, killing
18, including 14 foreign nationals, and wounding
many more. The subsequent week witnessed two more
barbaric attacks ?€? one in the Jalalabad compound of
the international non-governmental organization Save
the Children, where 27 people died, and the other was
an explosives-laden ambulance detonated next to a
major civilian hospital in the heart of Kabul. The blast
destroyed vehicles, shops and buildings nearby, killing
at least 105 civilians and injuring 235. The use of an
ambulance for such a ghastly attack is a war crime under
international law, including international humanitarian
law. The Council condemned the attacks and cited the
need to hold the perpetrators, organizers and financiers
of the attacks to account. Yet, despite all of the evidence
linking those attacks to regional sponsors, the question
once again is, When will that happen?"
60,Afghanistan_Situation_1477081,59,,,,,,,,"Last week, Afghanistan convened the second
conference of the Kabul Process for peace and security.
That marked a major development in the context
of peace efforts aimed at ending the conflict and
achieving a credible and just peace that conforms to
the aspirations of all Afghans. In recognition of our
people?€?s demand for ending violence, President Ghani
reached out to the Taliban in an unprecedented manner,
calling for direct talks without preconditions. Should
his call receive a positive response, the Taliban will
be granted the chance to become normal citizens, to"
61,Afghanistan_Situation_1477081,60,,,,,,,,"compete peacefully in politics through democratic
procedures, to be relieved of Security Council sanctions
measures and to enjoy the benefits of other positive
measures. In turn, they will have to give up their
long-standing path of violence. Moreover, our peace
process aims to protect and expand, not diminish, the
rights of our people, especially women. The time is
now for the Taliban to respond affirmatively and seize
the historic opportunity before them. We are inspired
by the international community?€?s level of support for
our new peace plan. The conference renewed the call
for tangible measures for combating terrorism, in
accordance with obligations stipulated in the United
Nations Global Counter-Terrorism Strategy and various
Security Council counter-terrorism resolutions. We
hope that States that have failed in that endeavour will
adopt a new approach based on express commitments
for the benefit of regional security."
62,Afghanistan_Situation_1477081,61,,,,,,,,"For too long, the debate on State-sponsored
terrorism has been kept away from international
forums, including the United Nations. Beyond the
intelligence networks, the rest of the world knows
little about the behaviour of that aspect of terrorism
at national, regional and international levels. The
regional State sponsors of terror outfits exported to our
country have recently pursued new methods of denial
and belligerence by using reverse psychology and
attempting to distort narratives. Irrefutable evidence
of complicity in facilitating safe havens and logistical
support to terrorists has been responded to by failed
methods of counter-narratives, accusing Afghanistan
of ?€?providing safe havens to terrorists?€?. Exploiting the
democratic political dynamics of Afghanistan, they
attempt to sow discord among our people, victimize
our refugees by unfairly linking them to terrorism and
portray their orchestrated terror attacks as civil war."
63,Afghanistan_Situation_1477081,62,,,,,,,,"Meanwhile, according to the latest United Nations
report, we have suffered more than 10,000 civilian
casualties yearly over the past four years, mainly due
to terrorist attacks plotted beyond our frontiers. In
their desperation, they do not even hold back from such
heavily risk-prone attempts as to abuse and manipulate
ironclad and all-weather friendships in international
relations, in favour of concealing the evidence of
their sponsorship of terrorism, obfuscating facts and
distorting narratives at regional and global forums."
64,Afghanistan_Situation_1477081,63,,,,,,,,"In the light of increased terrorist activities around
the world, the time has come to openly debate the
regional State sponsorship of terror outfits exported"
